      Step     Time          Energy         fmax
BFGS:    0 10:21:34       18.446178       42.0989
BFGS:    1 10:21:34        2.072741       14.7022
BFGS:    2 10:21:34       -1.538937       13.9445
BFGS:    3 10:21:34       -3.937789        3.6100
BFGS:    4 10:21:34       -4.507616        1.7944
BFGS:    5 10:21:34       -4.782998        0.6638
BFGS:    6 10:21:34       -4.844554        0.5003
BFGS:    7 10:21:34       -4.865214        0.4467
BFGS:    8 10:21:34       -4.883829        0.4551
BFGS:    9 10:21:34       -4.911771        0.4382
BFGS:   10 10:21:34       -4.941943        0.4689
BFGS:   11 10:21:34       -4.968484        0.5842
BFGS:   12 10:21:34       -4.983392        0.5633
BFGS:   13 10:21:34       -5.043402        0.8027
BFGS:   14 10:21:34       -5.153364        1.4741
BFGS:   15 10:21:34       -5.293007        1.9445
BFGS:   16 10:21:34       -5.404041        2.9450
BFGS:   17 10:21:34       -5.554659        2.3013
BFGS:   18 10:21:34       -5.667098        0.9379
BFGS:   19 10:21:34       -5.714888        0.9338
BFGS:   20 10:21:34       -5.764282        0.8033
BFGS:   21 10:21:34       -5.864119        0.5531
BFGS:   22 10:21:34       -5.877026        0.4497
BFGS:   23 10:21:34       -5.936240        0.4431
BFGS:   24 10:21:34       -5.967860        0.6096
BFGS:   25 10:21:34       -6.008956        0.6697
BFGS:   26 10:21:34       -6.041502        0.6211
BFGS:   27 10:21:34       -6.096701        0.7543
BFGS:   28 10:21:34       -6.147351        0.5025
BFGS:   29 10:21:34       -6.176419        0.3131
BFGS:   30 10:21:34       -6.187920        0.4266
BFGS:   31 10:21:34       -6.198370        0.3576
BFGS:   32 10:21:34       -6.214699        0.3487
BFGS:   33 10:21:34       -6.224196        0.2795
BFGS:   34 10:21:34       -6.229733        0.2159
BFGS:   35 10:21:34       -6.232172        0.1843
BFGS:   36 10:21:34       -6.234625        0.1450
BFGS:   37 10:21:34       -6.236738        0.1070
BFGS:   38 10:21:34       -6.237717        0.0977
BFGS:   39 10:21:34       -6.238295        0.0800
BFGS:   40 10:21:34       -6.238911        0.0622
BFGS:   41 10:21:34       -6.239482        0.0527
BFGS:   42 10:21:34       -6.239811        0.0432
      Step     Time          Energy         fmax
BFGS:    0 10:21:34       17.392955       39.2202
BFGS:    1 10:21:34       -1.086594       14.0752
BFGS:    2 10:21:34       -3.406587        9.5407
BFGS:    3 10:21:34       -4.638125        3.2361
BFGS:    4 10:21:34       -5.161740        1.8542
BFGS:    5 10:21:34       -5.414805        0.9777
BFGS:    6 10:21:34       -5.480062        0.6072
BFGS:    7 10:21:34       -5.504980        0.4659
BFGS:    8 10:21:34       -5.524768        0.4603
BFGS:    9 10:21:34       -5.548404        0.4465
BFGS:   10 10:21:34       -5.572536        0.7128
BFGS:   11 10:21:34       -5.606780        0.9432
BFGS:   12 10:21:34       -5.658312        0.9864
BFGS:   13 10:21:34       -5.729566        1.0282
BFGS:   14 10:21:34       -5.805177        1.1038
BFGS:   15 10:21:34       -5.870353        0.8046
BFGS:   16 10:21:34       -5.902752        0.4788
BFGS:   17 10:21:34       -5.919466        0.4085
BFGS:   18 10:21:34       -5.935948        0.3471
BFGS:   19 10:21:34       -5.952322        0.3719
BFGS:   20 10:21:34       -5.959061        0.3360
BFGS:   21 10:21:34       -5.966720        0.3183
BFGS:   22 10:21:34       -5.981144        0.3727
BFGS:   23 10:21:34       -6.002764        0.4308
BFGS:   24 10:21:34       -6.026833        0.5289
BFGS:   25 10:21:34       -6.053109        0.6188
BFGS:   26 10:21:34       -6.102312        0.8573
BFGS:   27 10:21:34       -6.070604        1.1888
BFGS:   28 10:21:34       -6.158139        0.5632
BFGS:   29 10:21:34       -6.195281        0.5386
BFGS:   30 10:21:34       -6.411853        0.8287
BFGS:   31 10:21:34       -6.447094        0.6665
BFGS:   32 10:21:34       -6.480023        0.7132
BFGS:   33 10:21:34       -6.530082        0.5110
BFGS:   34 10:21:34       -6.577705        0.4640
BFGS:   35 10:21:34       -6.640143        0.3923
BFGS:   36 10:21:34       -6.643477        0.6115
BFGS:   37 10:21:34       -6.667438        0.4046
BFGS:   38 10:21:34       -6.674006        0.2890
BFGS:   39 10:21:34       -6.683161        0.2020
BFGS:   40 10:21:34       -6.686516        0.1390
BFGS:   41 10:21:34       -6.688258        0.1239
BFGS:   42 10:21:34       -6.690029        0.1364
BFGS:   43 10:21:34       -6.691913        0.1270
BFGS:   44 10:21:34       -6.693470        0.0914
BFGS:   45 10:21:34       -6.694465        0.0888
BFGS:   46 10:21:34       -6.695235        0.0935
BFGS:   47 10:21:34       -6.696078        0.0869
BFGS:   48 10:21:34       -6.696877        0.0652
BFGS:   49 10:21:34       -6.697528        0.0570
BFGS:   50 10:21:34       -6.697975        0.0563
