       Step     Time          Energy         fmax
GPMin:    0 10:22:53       -3.988452        1.3335
GPMin:    1 10:22:59       -4.813256        0.5766
GPMin:    2 10:23:04       -5.138804        0.3041
GPMin:    3 10:23:11       -5.266293        0.1403
GPMin:    4 10:23:17       -5.291635        0.0973
GPMin:    5 10:23:22       -5.295755        0.0955
GPMin:    6 10:23:27       -5.319347        0.0847
GPMin:    7 10:23:33       -5.333747        0.1196
GPMin:    8 10:23:37       -5.341668        0.1066
GPMin:    9 10:23:42       -5.363817        0.0785
GPMin:   10 10:23:46       -5.371463        0.0712
GPMin:   11 10:23:52       -5.408504        0.1348
GPMin:   12 10:24:00       -5.414323        0.1057
GPMin:   13 10:24:05       -5.429809        0.0869
GPMin:   14 10:24:10       -5.438637        0.0968
GPMin:   15 10:24:14       -5.453778        0.1124
GPMin:   16 10:24:19       -5.471918        0.1168
GPMin:   17 10:24:24       -5.491321        0.1082
GPMin:   18 10:24:28       -5.508833        0.0978
GPMin:   19 10:24:33       -5.527570        0.0795
GPMin:   20 10:24:37       -5.538013        0.0568
GPMin:   21 10:24:42       -5.545729        0.0269
GPMin:   22 10:24:45       -5.546670        0.0191
       Step     Time          Energy         fmax
GPMin:    0 10:24:53       -4.135790        1.3483
GPMin:    1 10:24:58       -5.021353        0.6161
GPMin:    2 10:25:03       -5.359960        0.3282
GPMin:    3 10:25:08       -5.482966        0.1654
GPMin:    4 10:25:13       -5.509486        0.0922
GPMin:    5 10:25:17       -5.513795        0.0873
GPMin:    6 10:25:22       -5.523599        0.0596
GPMin:    7 10:25:26       -5.528421        0.0472
GPMin:    8 10:25:31       -5.531032        0.0460
GPMin:    9 10:25:35       -5.535575        0.0355
GPMin:   10 10:25:39       -5.538736        0.0296
GPMin:   11 10:25:43       -5.542013        0.0232
GPMin:   12 10:25:48       -5.544617        0.0293
GPMin:   13 10:25:51       -5.546333        0.0294
GPMin:   14 10:25:56       -5.549330        0.0258
GPMin:   15 10:26:00       -5.550844        0.0338
GPMin:   16 10:26:04       -5.555335        0.0414
GPMin:   17 10:26:08       -5.558245        0.0446
GPMin:   18 10:26:12       -5.566958        0.0476
GPMin:   19 10:26:17       -5.575254        0.0552
GPMin:   20 10:26:21       -5.586960        0.0633
GPMin:   21 10:26:25       -5.603975        0.0752
GPMin:   22 10:26:30       -5.627145        0.0964
GPMin:   23 10:26:34       -5.656934        0.1198
GPMin:   24 10:26:39       -5.695316        0.1437
GPMin:   25 10:26:43       -5.737972        0.1541
GPMin:   26 10:26:48       -5.777387        0.1417
GPMin:   27 10:26:53       -5.806282        0.1116
GPMin:   28 10:26:57       -5.821355        0.0852
GPMin:   29 10:27:01       -5.830783        0.0838
GPMin:   30 10:27:06       -5.843711        0.0876
GPMin:   31 10:27:10       -5.855361        0.0492
GPMin:   32 10:27:14       -5.862104        0.0437
GPMin:   33 10:27:18       -5.866411        0.0415
GPMin:   34 10:27:23       -5.870592        0.0314
GPMin:   35 10:27:27       -5.871650        0.0266
GPMin:   36 10:27:31       -5.872615        0.0223
GPMin:   37 10:27:34       -5.873026        0.0158
       Step     Time          Energy         fmax
GPMin:    0 10:27:41       -4.265618        1.3670
GPMin:    1 10:27:47       -5.217604        0.6328
GPMin:    2 10:27:52       -5.578882        0.2999
GPMin:    3 10:27:57       -5.697831        0.1242
GPMin:    4 10:28:01       -5.715217        0.0544
GPMin:    5 10:28:05       -5.717661        0.0488
GPMin:    6 10:28:10       -5.726410        0.0243
GPMin:    7 10:28:15       -5.728850        0.0139
       Step     Time          Energy         fmax
GPMin:    0 10:28:23       -4.293584        1.5284
GPMin:    1 10:28:27       -5.326721        0.7178
GPMin:    2 10:28:32       -5.724606        0.3103
GPMin:    3 10:28:36       -5.856653        0.0972
GPMin:    4 10:28:41       -5.873135        0.0174
       Step     Time          Energy         fmax
GPMin:    0 10:28:49       -4.265673        1.3743
GPMin:    1 10:28:55       -5.218295        0.6344
GPMin:    2 10:29:01       -5.579185        0.2988
GPMin:    3 10:29:06       -5.698482        0.1224
GPMin:    4 10:29:11       -5.715514        0.0542
GPMin:    5 10:29:15       -5.717845        0.0471
GPMin:    6 10:29:20       -5.726559        0.0240
GPMin:    7 10:29:25       -5.728921        0.0131
       Step     Time          Energy         fmax
GPMin:    0 10:29:35       -4.188053        1.1948
