       Step     Time          Energy         fmax
GPMin:    0 11:24:02       -6.787438        0.6615
GPMin:    1 11:24:09       -7.024303        0.2362
GPMin:    2 11:24:16       -7.105277        0.2056
GPMin:    3 11:24:22       -7.169348        0.1459
GPMin:    4 11:24:28       -7.200415        0.0842
GPMin:    5 11:24:33       -7.214095        0.0643
GPMin:    6 11:24:39       -7.227717        0.0368
GPMin:    7 11:24:44       -7.233996        0.0399
GPMin:    8 11:24:50       -7.236681        0.0285
GPMin:    9 11:24:56       -7.238101        0.0183
       Step     Time          Energy         fmax
GPMin:    0 11:25:05       -6.411709        0.4955
GPMin:    1 11:25:13       -6.647143        0.3461
GPMin:    2 11:25:19       -6.794578        0.2878
GPMin:    3 11:25:25       -6.904177        0.1976
GPMin:    4 11:25:32       -6.966579        0.1233
GPMin:    5 11:25:39       -7.003208        0.0949
GPMin:    6 11:25:45       -7.035714        0.0810
GPMin:    7 11:25:51       -7.069272        0.0767
GPMin:    8 11:25:58       -7.100448        0.0726
GPMin:    9 11:26:05       -7.131344        0.0786
GPMin:   10 11:26:11       -7.165912        0.0937
GPMin:   11 11:26:17       -7.202093        0.0924
GPMin:   12 11:26:23       -7.232022        0.0795
GPMin:   13 11:26:29       -7.253695        0.0636
GPMin:   14 11:26:34       -7.268730        0.0458
GPMin:   15 11:26:39       -7.276632        0.0367
GPMin:   16 11:26:45       -7.279652        0.0219
GPMin:   17 11:26:50       -7.280430        0.0189
       Step     Time          Energy         fmax
GPMin:    0 11:27:01       -6.416779        0.6291
GPMin:    1 11:27:09       -6.643078        0.2285
GPMin:    2 11:27:16       -6.736104        0.1823
GPMin:    3 11:27:23       -6.814889        0.2036
GPMin:    4 11:27:29       -6.891270        0.2228
GPMin:    5 11:27:35       -6.975973        0.2323
GPMin:    6 11:27:42       -7.065387        0.2247
GPMin:    7 11:27:49       -7.140302        0.1828
GPMin:    8 11:27:55       -7.191871        0.1127
GPMin:    9 11:28:01       -7.216863        0.0856
GPMin:   10 11:28:06       -7.227131        0.0697
GPMin:   11 11:28:12       -7.233049        0.0409
GPMin:   12 11:28:17       -7.237502        0.0361
GPMin:   13 11:28:22       -7.241599        0.0292
GPMin:   14 11:28:28       -7.246404        0.0316
GPMin:   15 11:28:34       -7.252203        0.0385
GPMin:   16 11:28:40       -7.258661        0.0350
GPMin:   17 11:28:45       -7.265101        0.0351
GPMin:   18 11:28:50       -7.271778        0.0353
GPMin:   19 11:28:56       -7.276884        0.0258
GPMin:   20 11:29:01       -7.279504        0.0185
       Step     Time          Energy         fmax
GPMin:    0 11:29:11       -6.231795        0.4513
GPMin:    1 11:29:19       -6.488487        0.3922
GPMin:    2 11:29:26       -6.636878        0.3965
GPMin:    3 11:29:32       -6.772392        0.3796
GPMin:    4 11:29:39       -6.888778        0.3127
GPMin:    5 11:29:46       -6.970719        0.1909
GPMin:    6 11:29:52       -7.014339        0.1112
GPMin:    7 11:29:58       -7.037561        0.1200
GPMin:    8 11:30:04       -7.062070        0.1201
GPMin:    9 11:30:10       -7.088385        0.1208
GPMin:   10 11:30:16       -7.118313        0.1170
GPMin:   11 11:30:22       -7.148222        0.0984
