       Step     Time          Energy         fmax
GPMin:    0 14:32:51       -3.171829        1.3494
GPMin:    1 14:32:56       -4.011755        0.6020
GPMin:    2 14:33:01       -4.289026        0.2555
GPMin:    3 14:33:06       -4.354220        0.0980
GPMin:    4 14:33:10       -4.363306        0.1241
GPMin:    5 14:33:14       -4.376972        0.1067
GPMin:    6 14:33:30       -4.397756        0.1071
GPMin:    7 14:33:40       -4.412229        0.0790
GPMin:    8 14:34:00       -4.436851        0.1346
GPMin:    9 14:34:10       -4.440421        0.1269
GPMin:   10 14:34:15       -4.450155        0.1021
GPMin:   11 14:34:27       -4.479189        0.2379
GPMin:   12 14:34:32       -4.495795        0.2641
GPMin:   13 14:34:37       -4.522430        0.2365
GPMin:   14 14:34:42       -4.570693        0.2154
GPMin:   15 14:34:47       -4.590198        0.2087
GPMin:   16 14:34:53       -4.640758        0.1947
GPMin:   17 14:34:59       -4.667678        0.1825
GPMin:   18 14:35:04       -4.695372        0.1656
GPMin:   19 14:35:09       -4.728473        0.1437
GPMin:   20 14:35:14       -4.754060        0.1318
GPMin:   21 14:35:20       -4.780988        0.1281
GPMin:   22 14:35:25       -4.803161        0.1217
GPMin:   23 14:35:30       -4.822997        0.1032
GPMin:   24 14:35:35       -4.840021        0.0827
GPMin:   25 14:35:40       -4.855073        0.0690
GPMin:   26 14:35:44       -4.866834        0.0581
GPMin:   27 14:35:49       -4.875880        0.0434
GPMin:   28 14:35:53       -4.881423        0.0327
GPMin:   29 14:35:58       -4.886748        0.0246
GPMin:   30 14:36:02       -4.888267        0.0146
       Step     Time          Energy         fmax
GPMin:    0 14:36:11       -3.236130        1.3330
GPMin:    1 14:36:18       -3.934471        0.6085
GPMin:    2 14:36:25       -4.186301        0.2877
GPMin:    3 14:36:30       -4.274395        0.1368
GPMin:    4 14:36:36       -4.300314        0.1173
GPMin:    5 14:36:41       -4.312348        0.1158
GPMin:    6 14:36:47       -4.331723        0.1087
GPMin:    7 14:36:59       -4.349079        0.1325
GPMin:    8 14:37:04       -4.370622        0.1149
GPMin:    9 14:37:11       -4.399107        0.3134
GPMin:   10 14:37:17       -4.495441        0.2327
GPMin:   11 14:37:22       -4.539592        0.1852
GPMin:   12 14:37:27       -4.567184        0.1585
GPMin:   13 14:37:32       -4.601883        0.1195
GPMin:   14 14:37:37       -4.624741        0.1265
GPMin:   15 14:37:43       -4.665080        0.1303
GPMin:   16 14:37:49       -4.703781        0.1314
GPMin:   17 14:37:54       -4.738405        0.1164
GPMin:   18 14:38:00       -4.771397        0.0915
GPMin:   19 14:38:05       -4.793962        0.0865
GPMin:   20 14:38:10       -4.812304        0.0822
GPMin:   21 14:38:14       -4.828875        0.0927
GPMin:   22 14:38:19       -4.849420        0.0871
GPMin:   23 14:38:23       -4.870344        0.0738
GPMin:   24 14:38:28       -4.886795        0.0678
GPMin:   25 14:38:32       -4.898827        0.0651
GPMin:   26 14:38:37       -4.908736        0.0617
GPMin:   27 14:38:41       -4.917581        0.0524
GPMin:   28 14:38:46       -4.923800        0.0422
GPMin:   29 14:38:50       -4.927469        0.0355
GPMin:   30 14:38:55       -4.930405        0.0317
GPMin:   31 14:38:59       -4.931525        0.0309
GPMin:   32 14:39:04       -4.933015        0.0319
GPMin:   33 14:39:08       -4.933401        0.0212
GPMin:   34 14:39:13       -4.933657        0.0079
       Step     Time          Energy         fmax
GPMin:    0 14:39:25       -2.767052        1.2834
GPMin:    1 14:39:33       -3.471069        0.4940
GPMin:    2 14:39:40       -3.701401        0.3009
GPMin:    3 14:39:46       -3.785864        0.1939
GPMin:    4 14:39:53       -3.817992        0.1614
GPMin:    5 14:39:59       -3.841472        0.1519
GPMin:    6 14:40:05       -3.871364        0.1751
GPMin:    7 14:40:12       -3.941802        0.1786
GPMin:    8 14:40:19       -3.990684        0.1806
GPMin:    9 14:40:25       -4.019392        0.1858
GPMin:   10 14:40:31       -4.202853        0.2527
GPMin:   11 14:40:37       -4.239556        0.3762
GPMin:   12 14:40:42       -4.281666        0.3542
GPMin:   13 14:40:47       -4.353647        0.2538
GPMin:   14 14:40:53       -4.423416        0.2143
GPMin:   15 14:40:59       -4.483660        0.2180
GPMin:   16 14:41:04       -4.546511        0.2095
GPMin:   17 14:41:10       -4.614636        0.1771
GPMin:   18 14:41:16       -4.663724        0.1262
GPMin:   19 14:41:21       -4.692340        0.0949
GPMin:   20 14:41:26       -4.705487        0.0982
GPMin:   21 14:41:31       -4.718046        0.0983
GPMin:   22 14:41:36       -4.733212        0.0852
GPMin:   23 14:41:41       -4.747612        0.0732
GPMin:   24 14:41:46       -4.761914        0.0860
GPMin:   25 14:41:51       -4.777253        0.0897
GPMin:   26 14:41:56       -4.794725        0.0882
GPMin:   27 14:42:01       -4.814710        0.0809
GPMin:   28 14:42:06       -4.834965        0.0681
GPMin:   29 14:42:11       -4.854353        0.0693
GPMin:   30 14:42:15       -4.872200        0.0775
GPMin:   31 14:42:20       -4.887944        0.0755
GPMin:   32 14:42:25       -4.901018        0.0675
GPMin:   33 14:42:29       -4.909931        0.0609
GPMin:   34 14:42:34       -4.916481        0.0598
GPMin:   35 14:42:38       -4.923321        0.0502
GPMin:   36 14:42:43       -4.926554        0.0403
GPMin:   37 14:42:47       -4.930483        0.0299
GPMin:   38 14:42:51       -4.931466        0.0291
GPMin:   39 14:42:55       -4.932799        0.0443
GPMin:   40 14:42:59       -4.933068        0.0346
GPMin:   41 14:43:03       -4.933811        0.0071
       Step     Time          Energy         fmax
GPMin:    0 14:43:12       -3.162098        1.3589
GPMin:    1 14:43:17       -4.007211        0.6071
GPMin:    2 14:43:23       -4.287196        0.2595
GPMin:    3 14:43:28       -4.353616        0.0955
GPMin:    4 14:43:33       -4.362724        0.1240
GPMin:    5 14:43:37       -4.376070        0.1054
GPMin:    6 14:43:42       -4.390644        0.1302
GPMin:    7 14:43:48       -4.407992        0.1111
GPMin:    8 14:43:58       -4.443951        0.0899
GPMin:    9 14:44:03       -4.445938        0.0518
GPMin:   10 14:44:07       -4.446404        0.0470
GPMin:   11 14:44:32       -4.452656        0.0470
GPMin:   12 14:44:39       -4.466331        0.1334
GPMin:   13 14:44:45       -4.495213        0.1804
GPMin:   14 14:44:57       -4.524257        0.2208
GPMin:   15 14:45:03       -4.577157        0.2031
