       Step     Time          Energy         fmax
GPMin:    0 10:50:40       -5.077004        0.4384
GPMin:    1 10:50:46       -5.259728        0.2122
GPMin:    2 10:50:51       -5.353333        0.1857
GPMin:    3 10:50:56       -5.441167        0.1588
GPMin:    4 10:51:02       -5.514907        0.1291
GPMin:    5 10:51:07       -5.568758        0.0841
GPMin:    6 10:51:12       -5.599151        0.0624
GPMin:    7 10:51:17       -5.616073        0.0718
GPMin:    8 10:51:22       -5.628872        0.0749
GPMin:    9 10:51:28       -5.645745        0.0721
GPMin:   10 10:51:33       -5.666324        0.0798
GPMin:   11 10:51:38       -5.687624        0.0768
GPMin:   12 10:51:44       -5.708907        0.0566
GPMin:   13 10:51:50       -5.721168        0.0340
GPMin:   14 10:51:55       -5.724208        0.0280
GPMin:   15 10:51:59       -5.725424        0.0208
GPMin:   16 10:52:05       -5.726317        0.0180
       Step     Time          Energy         fmax
GPMin:    0 10:52:13       -5.602612        0.1855
GPMin:    1 10:52:19       -5.672025        0.1370
GPMin:    2 10:52:25       -5.704969        0.0991
GPMin:    3 10:52:30       -5.736548        0.0705
GPMin:    4 10:52:36       -5.766357        0.0691
GPMin:    5 10:52:41       -5.795337        0.0667
GPMin:    6 10:52:46       -5.821360        0.0740
GPMin:    7 10:52:51       -5.846812        0.0652
GPMin:    8 10:52:56       -5.864832        0.0367
GPMin:    9 10:53:00       -5.870356        0.0227
GPMin:   10 10:53:05       -5.872455        0.0198
       Step     Time          Energy         fmax
GPMin:    0 10:53:14       -4.771371        0.9406
GPMin:    1 10:53:21       -5.102881        0.3393
GPMin:    2 10:53:27       -5.240792        0.3014
GPMin:    3 10:53:33       -5.364302        0.2718
GPMin:    4 10:53:39       -5.469778        0.2376
GPMin:    5 10:53:44       -5.553105        0.1654
GPMin:    6 10:53:50       -5.606508        0.1191
GPMin:    7 10:53:55       -5.633122        0.1096
GPMin:    8 10:54:00       -5.651671        0.0907
GPMin:    9 10:54:05       -5.668402        0.0546
GPMin:   10 10:54:10       -5.675815        0.0695
GPMin:   11 10:54:16       -5.675934        0.0868
GPMin:   12 10:54:20       -5.681423        0.0693
GPMin:   13 10:54:25       -5.688483        0.0365
GPMin:   14 10:54:30       -5.691144        0.0348
GPMin:   15 10:54:34       -5.696683        0.0365
GPMin:   16 10:54:40       -5.703704        0.0484
GPMin:   17 10:54:45       -5.719291        0.0604
GPMin:   18 10:54:50       -5.743241        0.0667
GPMin:   19 10:54:55       -5.764077        0.0569
GPMin:   20 10:55:00       -5.776448        0.0567
GPMin:   21 10:55:05       -5.787585        0.0602
GPMin:   22 10:55:11       -5.798568        0.0644
GPMin:   23 10:55:16       -5.814058        0.0725
GPMin:   24 10:55:20       -5.833186        0.0733
GPMin:   25 10:55:25       -5.850213        0.0606
GPMin:   26 10:55:30       -5.862403        0.0438
GPMin:   27 10:55:35       -5.867055        0.0347
GPMin:   28 10:55:39       -5.869334        0.0279
GPMin:   29 10:55:44       -5.871306        0.0275
GPMin:   30 10:55:48       -5.872480        0.0231
GPMin:   31 10:55:53       -5.873192        0.0136
       Step     Time          Energy         fmax
GPMin:    0 10:56:01       -5.259946        0.6920
GPMin:    1 10:56:07       -5.448026        0.1533
GPMin:    2 10:56:12       -5.512581        0.1536
GPMin:    3 10:56:17       -5.578323        0.1146
GPMin:    4 10:56:23       -5.609633        0.1153
GPMin:    5 10:56:29       -5.633264        0.0975
GPMin:    6 10:56:35       -5.638850        0.1458
GPMin:    7 10:56:46       -5.660312        0.0547
GPMin:    8 10:56:51       -5.663969        0.0471
GPMin:    9 10:57:03       -5.666653        0.0294
GPMin:   10 10:57:27       -5.669891        0.0550
GPMin:   11 10:57:39       -5.672750        0.0574
