Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -324.4480    -328.8521       4.4041   473.2
0.0010        -324.4518    -328.8081       4.3564   468.1
0.0015        -324.4559    -328.7045       4.2486   456.5
0.0020        -324.4602    -328.5578       4.0975   440.3
0.0025        -324.4655    -328.4021       3.9366   423.0
0.0030        -324.4722    -328.2738       3.8016   408.5
0.0035        -324.4807    -328.1948       3.7141   399.1
0.0040        -324.4910    -328.1654       3.6744   394.8
0.0045        -324.5023    -328.1669       3.6646   393.8
0.0050        -324.5139    -328.1785       3.6647   393.8
0.0055        -324.5249    -328.1867       3.6618   393.5
0.0060        -324.5365    -328.1890       3.6525   392.5
0.0065        -324.5492    -328.1851       3.6358   390.7
0.0070        -324.5624    -328.1672       3.6048   387.3
0.0075        -324.5763    -328.1220       3.5457   381.0
0.0080        -324.5892    -328.0414       3.4522   370.9
0.0085        -324.6007    -327.9378       3.3372   358.6
0.0090        -324.6115    -327.8435       3.2321   347.3
0.0095        -324.6223    -327.7975       3.1752   341.2
0.0100        -324.6354    -327.8290       3.1936   343.2
0.0105        -324.6509    -327.9355       3.2846   352.9
0.0110        -324.6681    -328.0814       3.4133   366.8
0.0115        -324.6854    -328.2149       3.5295   379.2
0.0120        -324.7020    -328.2941       3.5921   386.0
0.0125        -324.7171    -328.3034       3.5864   385.4
0.0130        -324.7311    -328.2588       3.5277   379.0
0.0135        -324.7453    -328.1949       3.4496   370.7
0.0140        -324.7607    -328.1469       3.3862   363.8
0.0145        -324.7771    -328.1414       3.3644   361.5
0.0150        -324.7944    -328.1944       3.4001   365.3
0.0155        -324.8132    -328.3101       3.4968   375.7
0.0160        -324.8337    -328.4737       3.6400   391.1
0.0165        -324.8562    -328.6548       3.7986   408.2
0.0170        -324.8795    -328.8167       3.9372   423.1
0.0175        -324.9030    -328.9290       4.0259   432.6
0.0180        -324.9265    -328.9773       4.0508   435.3
0.0185        -324.9500    -328.9684       4.0184   431.8
0.0190        -324.9734    -328.9270       3.9536   424.8
