       Step     Time          Energy         fmax
GPMin:    0 15:35:46       -4.224817        0.1927
GPMin:    1 15:35:52       -4.328011        0.2025
GPMin:    2 15:35:58       -4.420608        0.2430
GPMin:    3 15:36:04       -4.515829        0.2210
GPMin:    4 15:36:10       -4.598129        0.1938
GPMin:    5 15:36:15       -4.667872        0.1475
GPMin:    6 15:36:21       -4.715849        0.1117
GPMin:    7 15:36:26       -4.751482        0.0999
GPMin:    8 15:36:31       -4.785551        0.0882
GPMin:    9 15:36:35       -4.812762        0.0846
GPMin:   10 15:36:40       -4.837372        0.0833
GPMin:   11 15:36:45       -4.861909        0.0782
GPMin:   12 15:36:50       -4.879303        0.0551
GPMin:   13 15:36:55       -4.886766        0.0224
GPMin:   14 15:37:00       -4.887871        0.0199
       Step     Time          Energy         fmax
GPMin:    0 15:37:08       -4.316540        0.3143
GPMin:    1 15:37:14       -4.474838        0.2898
GPMin:    2 15:37:21       -4.589338        0.2610
GPMin:    3 15:37:27       -4.681522        0.1757
GPMin:    4 15:37:33       -4.729371        0.0876
GPMin:    5 15:37:38       -4.757025        0.0985
GPMin:    6 15:37:43       -4.790707        0.0833
GPMin:    7 15:37:48       -4.826415        0.0713
GPMin:    8 15:37:53       -4.855536        0.0720
GPMin:    9 15:37:58       -4.878692        0.0728
GPMin:   10 15:38:02       -4.900145        0.0576
GPMin:   11 15:38:07       -4.913210        0.0565
GPMin:   12 15:38:12       -4.922994        0.0464
GPMin:   13 15:38:16       -4.929327        0.0250
GPMin:   14 15:38:21       -4.931305        0.0264
GPMin:   15 15:38:25       -4.933139        0.0158
       Step     Time          Energy         fmax
GPMin:    0 15:38:35       -4.265722        0.4519
GPMin:    1 15:38:41       -4.408640        0.2809
GPMin:    2 15:38:47       -4.507543        0.2098
GPMin:    3 15:38:52       -4.573987        0.1218
GPMin:    4 15:38:57       -4.622558        0.1167
GPMin:    5 15:39:02       -4.666370        0.0981
GPMin:    6 15:39:07       -4.702193        0.1038
GPMin:    7 15:39:12       -4.729251        0.0988
GPMin:    8 15:39:17       -4.753871        0.0894
GPMin:    9 15:39:22       -4.779746        0.0741
GPMin:   10 15:39:26       -4.805980        0.0624
GPMin:   11 15:39:31       -4.832264        0.0637
GPMin:   12 15:39:36       -4.856737        0.0632
GPMin:   13 15:39:41       -4.875242        0.0466
GPMin:   14 15:39:46       -4.884449        0.0292
GPMin:   15 15:39:50       -4.887030        0.0212
GPMin:   16 15:39:55       -4.888017        0.0177
       Step     Time          Energy         fmax
GPMin:    0 15:40:04       -3.763380        0.4629
GPMin:    1 15:40:12       -3.935566        0.2197
GPMin:    2 15:40:19       -4.082161        0.2738
GPMin:    3 15:40:26       -4.210102        0.2522
GPMin:    4 15:40:32       -4.291841        0.2693
GPMin:    5 15:40:37       -4.359402        0.2526
GPMin:    6 15:40:44       -4.434508        0.2436
GPMin:    7 15:40:50       -4.461043        0.2177
GPMin:    8 15:40:55       -4.495113        0.2648
GPMin:    9 15:41:01       -4.521658        0.2842
GPMin:   10 15:41:07       -4.572715        0.2084
GPMin:   11 15:41:12       -4.594643        0.1897
GPMin:   12 15:41:17       -4.622893        0.1871
GPMin:   13 15:41:22       -4.665670        0.1472
GPMin:   14 15:41:28       -4.703256        0.1198
GPMin:   15 15:41:33       -4.731977        0.1239
GPMin:   16 15:41:38       -4.764208        0.1225
GPMin:   17 15:41:44       -4.791802        0.0985
GPMin:   18 15:41:49       -4.816219        0.0806
GPMin:   19 15:41:54       -4.838193        0.0832
GPMin:   20 15:41:59       -4.855852        0.0699
GPMin:   21 15:42:03       -4.869458        0.0486
GPMin:   22 15:42:08       -4.876527        0.0423
GPMin:   23 15:42:12       -4.881075        0.0365
GPMin:   24 15:42:17       -4.884720        0.0273
GPMin:   25 15:42:21       -4.886727        0.0292
GPMin:   26 15:42:25       -4.888613        0.0238
GPMin:   27 15:42:30       -4.889389        0.0227
GPMin:   28 15:42:34       -4.889942        0.0185
       Step     Time          Energy         fmax
GPMin:    0 15:42:44       -4.453723        0.5415
GPMin:    1 15:42:50       -4.615700        0.1649
GPMin:    2 15:42:56       -4.656746        0.1104
GPMin:    3 15:43:01       -4.694593        0.0769
GPMin:    4 15:43:06       -4.719581        0.0927
GPMin:    5 15:43:12       -4.745348        0.0596
GPMin:    6 15:43:16       -4.761389        0.0487
GPMin:    7 15:43:21       -4.774726        0.0366
GPMin:    8 15:43:25       -4.783132        0.0247
GPMin:    9 15:43:30       -4.787964        0.0144
       Step     Time          Energy         fmax
GPMin:    0 15:43:42       -3.776981        0.2923
GPMin:    1 15:43:49       -3.977849        0.2967
GPMin:    2 15:43:55       -4.094398        0.1970
GPMin:    3 15:44:02       -4.143329        0.1423
GPMin:    4 15:44:07       -4.175924        0.1437
GPMin:    5 15:44:13       -4.205493        0.1517
GPMin:    6 15:44:19       -4.248651        0.1597
GPMin:    7 15:44:24       -4.303062        0.1643
GPMin:    8 15:44:30       -4.348407        0.1678
GPMin:    9 15:44:36       -4.412700        0.1572
GPMin:   10 15:44:41       -4.457226        0.1596
